Type,Tester,Delay,Lossrate,20,1'40,3',4'20,5'40,7',8'20,9'40,11',12'20,13¡¯40,15',16'20,17'40,19',20'20,21'40,23'
Model,1,50,0,7,7,6,7,7,7,7,7,7,7,,,,,,,,
Model,2,50,0,7,7,7,7,7,6,7,7,7,6,7,,,,,,,
Model,3,50,0,7,7,7,7,6,7,7,7,7,7,7,7,,,,,,
Model,4,50,0,7,6,7,6,7,6,6,7,7,7,7,,,,,,,
Model,5,50,0,7,6,7,7,6,7,7,7,6,7,7,,,,,,,
Verification,6,50,0,6,7,7,7,7,7,7,7,7,7,,,,,,,,
Verification,7,50,0,7,7,6,7,7,7,6,7,7,7,6,7,7,,,,,
Verification,8,50,0,7,7,7,7,7,6,7,6,7,7,7,,,,,,,
Verification,9,50,0,7,7,7,7,7,7,7,7,7,7,7,,,,,,,
Verification,10,50,0,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,
Model,1,50,0.2,7,7,6,7,6,7,6,7,7,7,7,7,,,,,,
Model,2,50,0.2,6,6,7,6,6,7,7,6,7,6,7,,,,,,,
Model,3,50,0.2,7,7,6,7,6,7,6,7,7,7,6,7,,,,,,
Model,4,50,0.2,6,7,7,7,7,7,7,6,7,7,7,7,7,,,,,
Model,5,50,0.2,7,6,7,7,7,7,7,6,7,7,6,,,,,,,
Verification,6,50,0.2,7,7,7,7,7,6,7,7,7,7,7,,,,,,,
Verification,7,50,0.2,6,7,7,6,7,6,7,7,7,7,7,,,,,,,
Verification,8,50,0.2,7,7,6,7,7,7,6,7,6,7,6,6,,,,,,
Verification,9,50,0.2,7,6,7,7,7,7,7,7,7,6,7,,,,,,,
Verification,10,50,0.2,7,7,7,6,7,7,7,7,7,7,7,,,,,,,
Model,1,50,0.4,6,6,5,6,6,7,6,7,6,,,,,,,,,
Model,2,50,0.4,6,6,5,6,5,4,6,5,6,,,,,,,,,
Model,3,50,0.4,6,6,5,6,5,4,6,5,5,,,,,,,,,
Model,4,50,0.4,7,6,7,6,5,7,6,5,6,6,,,,,,,,
Model,5,50,0.4,6,6,6,5,6,5,5,6,6,6,6,,,,,,,
